id;vin_number;registration_number;date_sent_to_fic;date_fixed;milage;car_element_name;fault_severity;cost;mechanics_report
58;P21KXVPQ91100033;P1100033;2000-07-07;2000-07-12;12341;Warczy;2;3955;Komentarz mechanika
59;P21KXVPQ91100033;P1100033;2000-07-12;2000-07-12;12550;Warczy;1;5208;Komentarz mechanika
60;P21KXVPQ91100033;P1100033;2000-07-12;2000-07-18;11880;Wydech;5;2418;Komentarz mechanika
61;G69NZROT38100034;V6100034;2000-08-01;2000-08-03;12483;Silnik;4;350;Komentarz mechanika
62;G69NZROT38100034;V6100034;2000-10-03;2000-10-03;12318;Silnik;7;5688;Komentarz mechanika
63;G69NZROT38100034;V6100034;2000-10-03;2000-10-08;12278;Hamulce;2;4393;Komentarz mechanika
64;G69NZROT38100034;V6100034;2000-12-08;2000-12-09;12451;Wydech;1;1569;Komentarz mechanika
65;L98GCDPW31100035;R9100035;2000-08-01;2000-08-07;11374;Warczy;9;5668;Komentarz mechanika
66;L98GCDPW31100035;R9100035;2000-08-07;2000-08-07;11954;Silnik;8;2299;Komentarz mechanika
67;L98GCDPW31100035;R9100035;2000-08-07;2000-08-11;11795;Hamulce;9;3196;Komentarz mechanika
68;L98GCDPW31100035;R9100035;2000-09-11;2000-09-15;11739;Warczy;5;6248;Komentarz mechanika
69;J51YTTAU87100036;K5100036;2000-08-01;2000-08-05;18541;Hamulce;4;8506;Komentarz mechanika
70;J51YTTAU87100036;K5100036;2000-08-05;2000-08-11;18811;Wydech;5;2089;Komentarz mechanika
71;J51YTTAU87100036;K5100036;2000-08-11;2000-08-17;18454;Hamulce;6;2207;Komentarz mechanika
72;H43BJSQE11100037;W9100037;2000-06-01;2000-06-06;20878;Wydech;1;1064;Komentarz mechanika
73;H43BJSQE11100037;W9100037;2000-07-06;2000-07-11;20672;Warczy;6;8143;Komentarz mechanika
74;H43BJSQE11100037;W9100037;2000-08-11;2000-08-15;20646;Warczy;9;9529;Komentarz mechanika
75;H43BJSQE11100037;W9100037;2000-10-15;2000-10-20;20822;Silnik;9;6343;Komentarz mechanika
76;F44CSRKU72100039;I3100039;2000-08-01;2000-08-09;16949;Wydech;10;5298;Komentarz mechanika
77;F44CSRKU72100039;I3100039;2000-10-09;2000-10-10;16379;Warczy;10;5402;Komentarz mechanika
78;F44CSRKU72100039;I3100039;2000-10-10;2000-10-19;16667;Warczy;4;6577;Komentarz mechanika
79;G37CKNCN28100042;R4100042;2000-07-01;2000-07-09;12367;Hamulce;10;4787;Komentarz mechanika
80;G37CKNCN28100042;R4100042;2000-07-09;2000-07-11;12958;Warczy;3;4591;Komentarz mechanika
81;W18PEYLT85100043;O8100043;2000-08-01;2000-08-11;18901;Warczy;3;2720;Komentarz mechanika
82;W18PEYLT85100043;O8100043;2000-10-11;2000-10-19;18236;Warczy;4;4933;Komentarz mechanika
83;W18PEYLT85100043;O8100043;2000-12-19;2000-12-28;18856;Wydech;5;5255;Komentarz mechanika
84;W18PEYLT85100043;O8100043;2000-13-28;2001-02-05;18517;Hamulce;2;3958;Komentarz mechanika
85;A08VIXTF59100045;D5100045;2000-06-01;2000-06-05;20368;Hamulce;5;200;Komentarz mechanika
86;A08VIXTF59100045;D5100045;2000-07-05;2000-07-10;20062;Warczy;10;6837;Komentarz mechanika
87;O06AIMEA10100046;C7100046;2000-08-01;2000-08-05;15242;Hamulce;5;3641;Komentarz mechanika
88;R23JCHDL41100049;K5100049;2000-08-01;2000-08-01;15032;Warczy;5;4406;Komentarz mechanika
89;R23JCHDL41100049;K5100049;2000-08-01;2000-08-01;14698;Warczy;6;6923;Komentarz mechanika
90;R03GUQNE49100050;F6100050;2000-07-01;2000-07-04;19952;Hamulce;4;1861;Komentarz mechanika
91;U80GAAXT61100051;I7100051;2000-08-01;2000-08-01;13199;Warczy;5;6984;Komentarz mechanika
92;I89ZVYEC45100053;F3100053;2000-07-01;2000-07-09;20651;Warczy;4;6312;Komentarz mechanika
93;I89ZVYEC45100053;F3100053;2000-08-09;2000-08-16;19940;Hamulce;1;6319;Komentarz mechanika
94;I89ZVYEC45100053;F3100053;2000-10-16;2000-10-20;20178;Hamulce;8;9572;Komentarz mechanika
95;L98QHVZQ94100055;N1100055;2000-06-01;2000-06-02;15176;Silnik;10;1428;Komentarz mechanika
96;L98QHVZQ94100055;N1100055;2000-06-02;2000-06-09;15388;Warczy;9;9876;Komentarz mechanika
97;E88SNWRO08100056;S5100056;2000-08-01;2000-08-04;20139;Hamulce;8;4867;Komentarz mechanika
98;E88SNWRO08100056;S5100056;2000-10-04;2000-10-11;20635;Warczy;3;9132;Komentarz mechanika
99;E88SNWRO08100056;S5100056;2000-11-11;2000-11-17;20508;Wydech;7;2486;Komentarz mechanika
100;E88SNWRO08100056;S5100056;2000-11-17;2000-11-17;20256;Silnik;10;3077;Komentarz mechanika
101;W22TFCTF65100057;L7100057;2000-06-01;2000-06-07;11982;Silnik;8;457;Komentarz mechanika
102;W22TFCTF65100057;L7100057;2000-08-07;2000-08-12;11711;Warczy;3;2586;Komentarz mechanika
103;Q12PPFTD01100058;E2100058;2000-08-01;2000-08-09;13955;Silnik;7;1915;Komentarz mechanika
104;Q12PPFTD01100058;E2100058;2000-09-09;2000-09-18;13252;Wydech;5;5393;Komentarz mechanika
105;Q12PPFTD01100058;E2100058;2000-10-18;2000-10-28;13825;Hamulce;10;699;Komentarz mechanika
106;Q12PPFTD01100058;E2100058;2000-11-28;2000-12-06;13198;Silnik;4;5660;Komentarz mechanika
107;F09HPYTM13100059;O9100059;2000-06-01;2000-06-10;12552;Wydech;9;3454;Komentarz mechanika
108;B87FTHIA56100060;T9100060;2000-07-01;2000-07-01;16297;Warczy;3;3777;Komentarz mechanika
109;G59KYYOM86100061;J9100061;2000-07-01;2000-07-10;16418;Wydech;5;7433;Komentarz mechanika
110;G59KYYOM86100061;J9100061;2000-09-10;2000-09-19;16387;Warczy;7;3682;Komentarz mechanika
111;G59KYYOM86100061;J9100061;2000-11-19;2000-11-21;17014;Warczy;9;7933;Komentarz mechanika
112;D73KBIVD76100064;M9100064;2000-06-01;2000-06-09;19365;Hamulce;8;1196;Komentarz mechanika
113;M88QXSGZ37100065;P8100065;2000-06-01;2000-06-02;19431;Hamulce;9;6302;Komentarz mechanika
114;M88QXSGZ37100065;P8100065;2000-06-02;2000-06-06;19095;Hamulce;5;2898;Komentarz mechanika
115;M88QXSGZ37100065;P8100065;2000-06-06;2000-06-15;19672;Wydech;7;4020;Komentarz mechanika
116;M88QXSGZ37100065;P8100065;2000-06-15;2000-06-15;18690;Silnik;7;9399;Komentarz mechanika
117;S29YGDPL75100066;W8100066;2000-06-01;2000-06-07;18671;Silnik;10;4126;Komentarz mechanika
118;S29YGDPL75100066;W8100066;2000-08-07;2000-08-12;18606;Wydech;4;2154;Komentarz mechanika
119;L04MUYNE54100068;Z4100068;2000-07-01;2000-07-02;20772;Warczy;4;6724;Komentarz mechanika
120;L04MUYNE54100068;Z4100068;2000-08-02;2000-08-09;19898;Wydech;3;6096;Komentarz mechanika
121;L04MUYNE54100068;Z4100068;2000-08-09;2000-08-15;20352;Silnik;7;5844;Komentarz mechanika
122;N99YOEKW73100071;O9100071;2000-08-01;2000-08-10;13594;Silnik;3;1173;Komentarz mechanika
123;N99YOEKW73100071;O9100071;2000-08-10;2000-08-10;13715;Hamulce;9;5444;Komentarz mechanika
124;N99YOEKW73100071;O9100071;2000-10-10;2000-10-16;13208;Silnik;3;7719;Komentarz mechanika
125;N99YOEKW73100071;O9100071;2000-10-16;2000-10-20;13512;Silnik;4;9211;Komentarz mechanika
126;U35WDVED19100072;C0100072;2000-06-01;2000-06-07;21887;Hamulce;1;2250;Komentarz mechanika
127;U35WDVED19100072;C0100072;2000-08-07;2000-08-11;21354;Silnik;7;5883;Komentarz mechanika
128;H33CAPFR56100073;X5100073;2000-07-01;2000-07-03;13053;Wydech;3;785;Komentarz mechanika
129;H33CAPFR56100073;X5100073;2000-07-03;2000-07-11;12850;Warczy;4;8811;Komentarz mechanika
130;H33CAPFR56100073;X5100073;2000-08-11;2000-08-14;12645;Wydech;10;5948;Komentarz mechanika
131;H85ZBSRM77100076;X9100076;2000-08-01;2000-08-02;18665;Wydech;9;8885;Komentarz mechanika
132;H85ZBSRM77100076;X9100076;2000-09-02;2000-09-02;18620;Warczy;6;5335;Komentarz mechanika
133;H85ZBSRM77100076;X9100076;2000-10-02;2000-10-03;18830;Warczy;1;2118;Komentarz mechanika
134;H85ZBSRM77100076;X9100076;2000-10-03;2000-10-13;18255;Wydech;1;8699;Komentarz mechanika
135;M58SJUGH99100077;N0100077;2000-06-01;2000-06-08;14003;Silnik;6;8007;Komentarz mechanika
136;M58SJUGH99100077;N0100077;2000-06-08;2000-06-16;13457;Wydech;7;1039;Komentarz mechanika
137;M58SJUGH99100077;N0100077;2000-08-16;2000-08-26;13359;Wydech;2;4072;Komentarz mechanika
138;M58SJUGH99100077;N0100077;2000-09-26;2000-10-04;13361;Wydech;4;4391;Komentarz mechanika
139;V77JEQXN50100078;R1100078;2000-08-01;2000-08-08;20390;Hamulce;2;9141;Komentarz mechanika
140;Y51YQSLX69100079;O9100079;2000-07-01;2000-07-05;16697;Silnik;4;421;Komentarz mechanika
141;Y51YQSLX69100079;O9100079;2000-09-05;2000-09-10;16761;Silnik;4;6428;Komentarz mechanika
142;Y51YQSLX69100079;O9100079;2000-11-10;2000-11-13;17029;Warczy;10;769;Komentarz mechanika
143;Y51YQSLX69100079;O9100079;2000-11-13;2000-11-14;17069;Wydech;6;5828;Komentarz mechanika
144;C30NUYKB38100080;F6100080;2000-08-01;2000-08-11;12321;Silnik;10;4282;Komentarz mechanika
145;C30NUYKB38100080;F6100080;2000-09-11;2000-09-21;11666;Silnik;3;6329;Komentarz mechanika
146;N65CTUYZ05100081;P5100081;2000-07-01;2000-07-04;20403;Wydech;7;4734;Komentarz mechanika
147;N65CTUYZ05100081;P5100081;2000-09-04;2000-09-13;20001;Warczy;3;7914;Komentarz mechanika
148;N65CTUYZ05100081;P5100081;2000-09-13;2000-09-13;20089;Hamulce;8;5299;Komentarz mechanika
149;N65CTUYZ05100081;P5100081;2000-11-13;2000-11-19;20521;Hamulce;6;6235;Komentarz mechanika
150;P99YAVBN41100082;C5100082;2000-07-01;2000-07-05;11868;Silnik;5;9092;Komentarz mechanika
151;P99YAVBN41100082;C5100082;2000-08-05;2000-08-06;12192;Silnik;7;1353;Komentarz mechanika
152;P99YAVBN41100082;C5100082;2000-08-06;2000-08-16;12428;Wydech;3;9686;Komentarz mechanika
153;X36IGDND63100084;W3100084;2000-06-01;2000-06-03;15433;Wydech;6;2169;Komentarz mechanika
154;X36IGDND63100084;W3100084;2000-08-03;2000-08-05;14906;Hamulce;1;5755;Komentarz mechanika
155;X36IGDND63100084;W3100084;2000-08-05;2000-08-09;15252;Wydech;9;1813;Komentarz mechanika
156;C95OHTJC07100085;A7100085;2000-08-01;2000-08-02;13347;Silnik;8;9871;Komentarz mechanika
157;C95OHTJC07100085;A7100085;2000-09-02;2000-09-11;13519;Hamulce;10;6320;Komentarz mechanika
158;J29LEXZJ46100086;I7100086;2000-08-01;2000-08-01;20209;Silnik;6;8033;Komentarz mechanika
159;J29LEXZJ46100086;I7100086;2000-10-01;2000-10-06;19960;Hamulce;6;4683;Komentarz mechanika
160;J29LEXZJ46100086;I7100086;2000-11-06;2000-11-16;19724;Hamulce;6;1709;Komentarz mechanika
161;R15GYNSX12100087;R2100087;2000-06-01;2000-06-10;14617;Silnik;5;3237;Komentarz mechanika
162;R92IEGJG84100089;A8100089;2000-07-01;2000-07-06;11795;Warczy;2;994;Komentarz mechanika
163;R92IEGJG84100089;A8100089;2000-07-06;2000-07-14;12196;Wydech;5;9655;Komentarz mechanika
164;J33JGOGQ59100091;Q0100091;2000-06-01;2000-06-10;18056;Silnik;8;5296;Komentarz mechanika
165;Z94JMTKT13100093;O0100093;2000-07-01;2000-07-02;18644;Wydech;9;7227;Komentarz mechanika
166;Z27WFFSY87100094;J5100094;2000-06-01;2000-06-02;13149;Warczy;7;233;Komentarz mechanika
167;M57OLEZA44100095;G8100095;2000-06-01;2000-06-05;13488;Warczy;2;729;Komentarz mechanika
168;M57OLEZA44100095;G8100095;2000-08-05;2000-08-15;12939;Warczy;4;9557;Komentarz mechanika
169;M57OLEZA44100095;G8100095;2000-08-15;2000-08-23;13536;Wydech;1;5812;Komentarz mechanika
170;K30NDFYU86100098;K9100098;2000-06-01;2000-06-09;15294;Wydech;5;3861;Komentarz mechanika
171;K30NDFYU86100098;K9100098;2000-08-09;2000-08-19;15510;Silnik;10;8193;Komentarz mechanika
172;G35RMEZE41100099;H9100099;2000-07-01;2000-07-11;15871;Hamulce;9;4696;Komentarz mechanika
173;V74TYUBZ17100100;Q1100100;2000-07-01;2000-07-05;21684;Hamulce;4;7866;Komentarz mechanika
174;V74TYUBZ17100100;Q1100100;2000-08-05;2000-08-13;20955;Wydech;7;5176;Komentarz mechanika
175;V74TYUBZ17100100;Q1100100;2000-09-13;2000-09-15;21432;Silnik;3;102;Komentarz mechanika
176;H64DMAUE70100101;E9100101;2000-08-01;2000-08-09;18081;Wydech;1;2479;Komentarz mechanika
177;H64DMAUE70100101;E9100101;2000-10-09;2000-10-18;17768;Wydech;2;9619;Komentarz mechanika
178;H64DMAUE70100101;E9100101;2000-12-18;2000-12-23;17898;Silnik;7;5130;Komentarz mechanika
179;S89OLWBX64100102;J9100102;2000-06-01;2000-06-02;12943;Wydech;10;7006;Komentarz mechanika
180;S89OLWBX64100102;J9100102;2000-07-02;2000-07-05;13218;Warczy;9;9222;Komentarz mechanika
181;S89OLWBX64100102;J9100102;2000-07-05;2000-07-07;13269;Silnik;4;3799;Komentarz mechanika
182;Z36HITYV73100103;D5100103;2000-06-01;2000-06-09;13662;Wydech;9;6444;Komentarz mechanika
183;Z36HITYV73100103;D5100103;2000-07-09;2000-07-15;13973;Warczy;4;2313;Komentarz mechanika
184;Z36HITYV73100103;D5100103;2000-08-15;2000-08-23;13978;Silnik;3;8551;Komentarz mechanika
185;T16FMSMV73100104;Y6100104;2000-06-01;2000-06-06;15579;Warczy;5;3360;Komentarz mechanika
186;T16FMSMV73100104;Y6100104;2000-08-06;2000-08-10;15459;Wydech;1;9592;Komentarz mechanika
187;M23LSZTJ84100106;P9100106;2000-07-01;2000-07-09;17920;Warczy;1;1610;Komentarz mechanika
188;J84VUXHK55100107;I8100107;2000-08-01;2000-08-07;18805;Hamulce;8;933;Komentarz mechanika
189;J84VUXHK55100107;I8100107;2000-08-07;2000-08-10;18235;Wydech;1;1364;Komentarz mechanika
190;J84VUXHK55100107;I8100107;2000-09-10;2000-09-14;18842;Hamulce;9;9210;Komentarz mechanika
191;M56FAMDN14100109;J9100109;2000-07-01;2000-07-06;13873;Wydech;7;4015;Komentarz mechanika
192;M56FAMDN14100109;J9100109;2000-08-06;2000-08-14;13581;Warczy;8;2307;Komentarz mechanika
193;Y67WPSEM05100110;L8100110;2000-07-01;2000-07-01;14960;Warczy;8;9030;Komentarz mechanika
194;Y67WPSEM05100110;L8100110;2000-07-01;2000-07-03;15545;Hamulce;7;7763;Komentarz mechanika
195;E72MQOZO41100111;L0100111;2000-07-01;2000-07-03;16192;Hamulce;4;2586;Komentarz mechanika
196;X96ZIEYD90100113;R6100113;2000-06-01;2000-06-08;20805;Silnik;1;4956;Komentarz mechanika
197;X96ZIEYD90100113;R6100113;2000-07-08;2000-07-16;20706;Wydech;9;5594;Komentarz mechanika
198;X96ZIEYD90100113;R6100113;2000-07-16;2000-07-23;21487;Hamulce;10;4837;Komentarz mechanika
199;X96ZIEYD90100113;R6100113;2000-08-23;2000-08-27;21177;Silnik;3;1181;Komentarz mechanika
200;G50FWXKI17100114;F1100114;2000-07-01;2000-07-04;17164;Wydech;9;3588;Komentarz mechanika
201;G50FWXKI17100114;F1100114;2000-08-04;2000-08-04;17533;Hamulce;3;9795;Komentarz mechanika
202;G50FWXKI17100114;F1100114;2000-10-04;2000-10-10;16759;Hamulce;8;309;Komentarz mechanika
203;C70DCURF04100115;D3100115;2000-06-01;2000-06-11;14964;Wydech;9;8426;Komentarz mechanika
204;C70DCURF04100115;D3100115;2000-08-11;2000-08-12;15319;Warczy;2;9481;Komentarz mechanika
205;M60LQSOF44100116;H9100116;2000-06-01;2000-06-08;14542;Silnik;9;9911;Komentarz mechanika
206;M60LQSOF44100116;H9100116;2000-08-08;2000-08-14;13773;Warczy;10;8870;Komentarz mechanika
207;O03HQUKF29100117;F9100117;2000-07-01;2000-07-01;12114;Wydech;6;1130;Komentarz mechanika
208;O03HQUKF29100117;F9100117;2000-09-01;2000-09-03;12209;Hamulce;2;1436;Komentarz mechanika
209;O03HQUKF29100117;F9100117;2000-10-03;2000-10-03;11520;Warczy;7;2038;Komentarz mechanika
210;B03XQVEL88100118;R2100118;2000-06-01;2000-06-09;17189;Silnik;5;2130;Komentarz mechanika
211;B03XQVEL88100118;R2100118;2000-07-09;2000-07-09;16560;Warczy;5;8533;Komentarz mechanika
212;B03XQVEL88100118;R2100118;2000-08-09;2000-08-09;16604;Warczy;6;921;Komentarz mechanika
213;K92PLGXB53100120;M3100120;2000-07-01;2000-07-06;19134;Warczy;3;204;Komentarz mechanika
214;K92PLGXB53100120;M3100120;2000-09-06;2000-09-10;19618;Warczy;5;5712;Komentarz mechanika
215;K92PLGXB53100120;M3100120;2000-09-10;2000-09-10;19211;Warczy;10;2557;Komentarz mechanika
216;K92PLGXB53100120;M3100120;2000-09-10;2000-09-12;19882;Wydech;2;4665;Komentarz mechanika
217;E18DBDMM77100121;T8100121;2000-06-01;2000-06-07;20630;Silnik;1;3684;Komentarz mechanika
218;E18DBDMM77100121;T8100121;2000-08-07;2000-08-10;20642;Silnik;1;9259;Komentarz mechanika
219;I16NVSZW77100122;R9100122;2000-06-01;2000-06-02;18570;Wydech;5;275;Komentarz mechanika
220;I16NVSZW77100122;R9100122;2000-06-02;2000-06-07;18623;Wydech;2;7099;Komentarz mechanika
221;I16NVSZW77100122;R9100122;2000-07-07;2000-07-14;17971;Wydech;7;5323;Komentarz mechanika
222;Y88QLSVB94100123;G5100123;2000-07-01;2000-07-10;16943;Hamulce;8;3892;Komentarz mechanika
223;Z97MZJIX10100124;R8100124;2000-07-01;2000-07-08;15623;Wydech;10;3645;Komentarz mechanika
224;Z97MZJIX10100124;R8100124;2000-09-08;2000-09-18;15658;Silnik;6;7514;Komentarz mechanika
225;Z97MZJIX10100124;R8100124;2000-11-18;2000-11-28;15281;Hamulce;1;7325;Komentarz mechanika
226;Z97MZJIX10100124;R8100124;2000-11-28;2000-12-03;15576;Wydech;5;1945;Komentarz mechanika
227;Y58TLHEF23100126;O2100126;2000-06-01;2000-06-01;16316;Hamulce;10;5251;Komentarz mechanika
228;Y58TLHEF23100126;O2100126;2000-07-01;2000-07-02;16271;Silnik;4;5493;Komentarz mechanika
229;Y58TLHEF23100126;O2100126;2000-08-02;2000-08-05;16423;Hamulce;8;7761;Komentarz mechanika
230;C93RFIKC15100127;H6100127;2000-08-01;2000-08-01;14358;Hamulce;2;3630;Komentarz mechanika
231;V14CMVJA39100128;P8100128;2000-07-01;2000-07-01;14773;Silnik;7;2974;Komentarz mechanika
232;V14CMVJA39100128;P8100128;2000-08-01;2000-08-04;15503;Wydech;3;7558;Komentarz mechanika
233;V14CMVJA39100128;P8100128;2000-08-04;2000-08-06;14998;Warczy;7;6387;Komentarz mechanika
234;V14CMVJA39100128;P8100128;2000-10-06;2000-10-14;15109;Wydech;3;1825;Komentarz mechanika
235;F53CRJLI98100129;P2100129;2000-08-01;2000-08-03;15977;Hamulce;9;9159;Komentarz mechanika
236;F53CRJLI98100129;P2100129;2000-08-03;2000-08-09;15182;Wydech;2;5399;Komentarz mechanika
237;M35SPMLL13100130;E5100130;2000-06-01;2000-06-01;16206;Hamulce;9;5008;Komentarz mechanika
238;M35SPMLL13100130;E5100130;2000-07-01;2000-07-05;15520;Wydech;9;5629;Komentarz mechanika
239;M35SPMLL13100130;E5100130;2000-07-05;2000-07-09;15558;Warczy;8;5529;Komentarz mechanika
240;M68GYGVA25100131;R6100131;2000-08-01;2000-08-03;21002;Silnik;1;9358;Komentarz mechanika
241;K04DEKZQ73100132;S8100132;2000-06-01;2000-06-06;17023;Warczy;2;8518;Komentarz mechanika
242;I15PZWSG06100133;L3100133;2000-06-01;2000-06-07;14405;Silnik;10;159;Komentarz mechanika
243;I15PZWSG06100133;L3100133;2000-07-07;2000-07-10;14559;Hamulce;5;9264;Komentarz mechanika
244;I15PZWSG06100133;L3100133;2000-07-10;2000-07-12;15070;Wydech;7;2462;Komentarz mechanika
245;I15PZWSG06100133;L3100133;2000-08-12;2000-08-13;15282;Wydech;4;3858;Komentarz mechanika
246;Y99IIZMC79100134;Q1100134;2000-06-01;2000-06-06;17692;Silnik;9;9769;Komentarz mechanika
247;R82AYOOF05100135;P5100135;2000-08-01;2000-08-08;20002;Warczy;6;1716;Komentarz mechanika
248;R82AYOOF05100135;P5100135;2000-09-08;2000-09-12;19216;Warczy;8;6400;Komentarz mechanika
249;Y91HQJFG02100136;G7100136;2000-07-01;2000-07-09;21765;Silnik;6;1236;Komentarz mechanika
250;E87VTKBK17100137;A8100137;2000-06-01;2000-06-09;14863;Warczy;8;7953;Komentarz mechanika
